,p.val,fc,log2fc,auc.mat,log10p,species,significant
Geobacillus.sp...r_01362.,NA,0,0,0.5,NA,Geobacillus.sp...r_01362.,NA
Geobacillus.sp...r_01363.,NA,0,0,0.5,NA,Geobacillus.sp...r_01363.,NA
Geobacillus.stearothermophilus..r_04164.,NA,0,0,0.5,NA,Geobacillus.stearothermophilus..r_04164.,NA
Geobacillus.subterraneus..r_03907.,NA,0,0,0.5,NA,Geobacillus.subterraneus..r_03907.,NA
Geobacillus.subterraneus.icigianus..r_04229.,NA,0,0,0.5,NA,Geobacillus.subterraneus.icigianus..r_04229.,NA
Geobacillus.thermodenitrificans..r_03906.,NA,0,0,0.5,NA,Geobacillus.thermodenitrificans..r_03906.,NA
Geobacillus.vulcani..r_01364.,NA,0,0,0.5,NA,Geobacillus.vulcani..r_01364.,NA
Geobacter.anodireducens.soli..r_04082.,NA,0,0,0.5,NA,Geobacter.anodireducens.soli..r_04082.,NA
Geobacter.bemidjiensis.bremensis..r_04000.,NA,0,0,0.5,NA,Geobacter.bemidjiensis.bremensis..r_04000.,NA
Geobacter.daltonii..r_03918.,NA,0,0,0.5,NA,Geobacter.daltonii..r_03918.,NA
Geobacter.lovleyi..r_11115.,NA,0,0,0.5,NA,Geobacter.lovleyi..r_11115.,NA
Geobacter.metallireducens..r_06125.,NA,0,0,0.5,NA,Geobacter.metallireducens..r_06125.,NA
Geobacter.pickeringii..r_10978.,NA,0,0,0.5,NA,Geobacter.pickeringii..r_10978.,NA
Geobacter.sp..M18..r_11211.,NA,0,0,0.5,NA,Geobacter.sp..M18..r_11211.,NA
Geobacter.sp..M21..r_04001.,NA,0,0,0.5,NA,Geobacter.sp..M21..r_04001.,NA
Geobacter.sp..OR.1..r_07761.,NA,0,0,0.5,NA,Geobacter.sp..OR.1..r_07761.,NA
Geobacter.sulfurreducens..r_04083.,NA,0,0,0.5,NA,Geobacter.sulfurreducens..r_04083.,NA
Geobacter.thiogenes..r_07209.,NA,0,0,0.5,NA,Geobacter.thiogenes..r_07209.,NA
Geobacter.toluenoxydans..r_03917.,NA,0,0,0.5,NA,Geobacter.toluenoxydans..r_03917.,NA
Geobacter.uraniireducens..r_10992.,NA,0,0,0.5,NA,Geobacter.uraniireducens..r_10992.,NA
Geobacteraceae.bacterium.GWC2_53_11..r_09641.,NA,0,0,0.5,NA,Geobacteraceae.bacterium.GWC2_53_11..r_09641.,NA
Geobacteraceae.bacterium.GWC2_58_44..r_09642.,NA,0,0,0.5,NA,Geobacteraceae.bacterium.GWC2_58_44..r_09642.,NA
Geobacteraceae.bacterium..r_05595.,NA,0,0,0.5,NA,Geobacteraceae.bacterium..r_05595.,NA
Geodermatophilaceae.bacterium.URHA0031..r_04212.,NA,0,0,0.5,NA,Geodermatophilaceae.bacterium.URHA0031..r_04212.,NA
Geodermatophilaceae.bacterium.URHB0048..r_08065.,NA,0,0,0.5,NA,Geodermatophilaceae.bacterium.URHB0048..r_08065.,NA
Geodermatophilaceae.bacterium.URHB0062..r_08067.,NA,0,0,0.5,NA,Geodermatophilaceae.bacterium.URHB0062..r_08067.,NA
Geodermatophilus.africanus..r_02610.,NA,0,0,0.5,NA,Geodermatophilus.africanus..r_02610.,NA
Geodermatophilus.amargosae..r_07859.,NA,0,0,0.5,NA,Geodermatophilus.amargosae..r_07859.,NA
Geodermatophilus.nigrescens..r_01552.,NA,0,0,0.5,NA,Geodermatophilus.nigrescens..r_01552.,NA
Geodermatophilus.obscurus..r_01553.,NA,0,0,0.5,NA,Geodermatophilus.obscurus..r_01553.,NA
Geodermatophilus.obscurus..r_02608.,NA,0,0,0.5,NA,Geodermatophilus.obscurus..r_02608.,NA
Geodermatophilus.poikilotrophus.obscurus..r_02607.,NA,0,0,0.5,NA,Geodermatophilus.poikilotrophus.obscurus..r_02607.,NA
Geodermatophilus.ruber..r_11358.,NA,0,0,0.5,NA,Geodermatophilus.ruber..r_11358.,NA
Geodermatophilus.siccatus..r_02609.,NA,0,0,0.5,NA,Geodermatophilus.siccatus..r_02609.,NA
Geodermatophilus.sp..DSM.44208..r_01551.,NA,0,0,0.5,NA,Geodermatophilus.sp..DSM.44208..r_01551.,NA
Geodermatophilus.sp..DSM.45219..r_02611.,NA,0,0,0.5,NA,Geodermatophilus.sp..DSM.45219..r_02611.,NA
Geodermatophilus.sp..Leaf369..r_09229.,NA,0,0,0.5,NA,Geodermatophilus.sp..Leaf369..r_09229.,NA
Geodermatophilus.telluris..r_01550.,NA,0,0,0.5,NA,Geodermatophilus.telluris..r_01550.,NA
Geofilum.rubicundum..r_07528.,NA,0,0,0.5,NA,Geofilum.rubicundum..r_07528.,NA
Geoglobus.acetivorans..r_11501.,NA,0,0,0.5,NA,Geoglobus.acetivorans..r_11501.,NA
Geoglobus.ahangari..r_07173.,NA,0,0,0.5,NA,Geoglobus.ahangari..r_07173.,NA
Geomicrobium.sp...r_04502.,NA,0,0,0.5,NA,Geomicrobium.sp...r_04502.,NA
Geomicrobium.sp...r_04503.,NA,0,0,0.5,NA,Geomicrobium.sp...r_04503.,NA
Geopsychrobacter.electrodiphilus..r_06886.,NA,0,0,0.5,NA,Geopsychrobacter.electrodiphilus..r_06886.,NA
Geosporobacter.ferrireducens..r_08264.,NA,0,0,0.5,NA,Geosporobacter.ferrireducens..r_08264.,NA
Geosporobacter.subterraneus..r_06887.,NA,0,0,0.5,NA,Geosporobacter.subterraneus..r_06887.,NA
Geothermobacter.sp..EPR.M..r_10622.,NA,0,0,0.5,NA,Geothermobacter.sp..EPR.M..r_10622.,NA
Geothrix.fermentans..r_06888.,NA,0,0,0.5,NA,Geothrix.fermentans..r_06888.,NA
Geotoga.petraea..r_10815.,NA,0,0,0.5,NA,Geotoga.petraea..r_10815.,NA
Geovibrio.sp..L21.Ace.BES..r_07894.,NA,0,0,0.5,NA,Geovibrio.sp..L21.Ace.BES..r_07894.,NA
Ghiorsea.bivora..r_08410.,NA,0,0,0.5,NA,Ghiorsea.bivora..r_08410.,NA
Giesbergeria.anulus..r_09776.,NA,0,0,0.5,NA,Giesbergeria.anulus..r_09776.,NA
Gilliamella.apicola..r_02991.,NA,0,0,0.5,NA,Gilliamella.apicola..r_02991.,NA
Gilliamella.apicola..r_02992.,NA,0,0,0.5,NA,Gilliamella.apicola..r_02992.,NA
Gilliamella.apicola..r_02995.,NA,0,0,0.5,NA,Gilliamella.apicola..r_02995.,NA
Gilliamella.apicola..r_02996.,NA,0,0,0.5,NA,Gilliamella.apicola..r_02996.,NA
Gilliamella.apicola..r_02998.,NA,0,0,0.5,NA,Gilliamella.apicola..r_02998.,NA
Gilliamella.apicola..r_03000.,NA,0,0,0.5,NA,Gilliamella.apicola..r_03000.,NA
Gilliamella.apicola..r_03001.,NA,0,0,0.5,NA,Gilliamella.apicola..r_03001.,NA
Gilliamella.apicola..r_03002.,NA,0,0,0.5,NA,Gilliamella.apicola..r_03002.,NA
Gilliamella.apicola..r_03005.,NA,0,0,0.5,NA,Gilliamella.apicola..r_03005.,NA
Gilliamella.apicola..r_03006.,NA,0,0,0.5,NA,Gilliamella.apicola..r_03006.,NA
Gilliamella.apicola..r_07323.,NA,0,0,0.5,NA,Gilliamella.apicola..r_07323.,NA
Gilliamella.apicola..r_07324.,NA,0,0,0.5,NA,Gilliamella.apicola..r_07324.,NA
Gilliamella.apicola.apis..r_03004.,NA,0,0,0.5,NA,Gilliamella.apicola.apis..r_03004.,NA
Gilliamella.apicola.bombi..r_02997.,NA,0,0,0.5,NA,Gilliamella.apicola.bombi..r_02997.,NA
Gilliamella.bombicola..r_02993.,NA,0,0,0.5,NA,Gilliamella.bombicola..r_02993.,NA
Gilliamella.intestini..r_02999.,NA,0,0,0.5,NA,Gilliamella.intestini..r_02999.,NA
Gilliamella.mensalis..r_02994.,NA,0,0,0.5,NA,Gilliamella.mensalis..r_02994.,NA
Gilliamella.sp...r_03003.,NA,0,0,0.5,NA,Gilliamella.sp...r_03003.,NA
Gillisia.limnaea..r_11985.,NA,0,0,0.5,NA,Gillisia.limnaea..r_11985.,NA
Gillisia.marina..r_02827.,NA,0,0,0.5,NA,Gillisia.marina..r_02827.,NA
Gillisia.sp..CAL575..r_02826.,NA,0,0,0.5,NA,Gillisia.sp..CAL575..r_02826.,NA
Gillisia.sp..JM1..r_02825.,NA,0,0,0.5,NA,Gillisia.sp..JM1..r_02825.,NA
Gillisia.sp...r_03553.,NA,0,0,0.5,NA,Gillisia.sp...r_03553.,NA
Gilvimarinus.agarilyticus..r_11764.,NA,0,0,0.5,NA,Gilvimarinus.agarilyticus..r_11764.,NA
Gilvimarinus.chinensis..r_06889.,NA,0,0,0.5,NA,Gilvimarinus.chinensis..r_06889.,NA
Gilvimarinus.polysaccharolyticus..r_11981.,NA,0,0,0.5,NA,Gilvimarinus.polysaccharolyticus..r_11981.,NA
Gimesia.maris..r_10974.,NA,0,0,0.5,NA,Gimesia.maris..r_10974.,NA
Glaciecola.nitratireducens..r_06618.,NA,0,0,0.5,NA,Glaciecola.nitratireducens..r_06618.,NA
Glaciecola.pallidula..r_02263.,NA,0,0,0.5,NA,Glaciecola.pallidula..r_02263.,NA
Glaciecola.punicea..r_02264.,NA,0,0,0.5,NA,Glaciecola.punicea..r_02264.,NA
Glaciecola.sp..HTCC2999..r_11252.,NA,0,0,0.5,NA,Glaciecola.sp..HTCC2999..r_11252.,NA
Glaciibacter.superstes..r_06890.,NA,0,0,0.5,NA,Glaciibacter.superstes..r_06890.,NA
Glaesserella.parasuis..r_02035.,NA,0,0,0.5,NA,Glaesserella.parasuis..r_02035.,NA
Globicatella.sanguinis.sulfidifaciens..r_02265.,NA,0,0,0.5,NA,Globicatella.sanguinis.sulfidifaciens..r_02265.,NA
Gloeobacter.kilaueensis..r_07284.,NA,0,0,0.5,NA,Gloeobacter.kilaueensis..r_07284.,NA
Gloeobacter.violaceus..r_10755.,NA,0,0,0.5,NA,Gloeobacter.violaceus..r_10755.,NA
Gloeocapsa.sp..PCC.73106..r_06522.,NA,0,0,0.5,NA,Gloeocapsa.sp..PCC.73106..r_06522.,NA
Gloeocapsa.sp..PCC.7428..r_02890.,NA,0,0,0.5,NA,Gloeocapsa.sp..PCC.7428..r_02890.,NA
Gloeomargarita.lithophora..r_07295.,NA,0,0,0.5,NA,Gloeomargarita.lithophora..r_07295.,NA
Gluconacetobacter.diazotrophicus..r_06129.,NA,0,0,0.5,NA,Gluconacetobacter.diazotrophicus..r_06129.,NA
Gluconobacter.albidus..r_03873.,NA,0,0,0.5,NA,Gluconobacter.albidus..r_03873.,NA
Gluconobacter.cerinus.oxydans..r_06256.,NA,0,0,0.5,NA,Gluconobacter.cerinus.oxydans..r_06256.,NA
Gluconobacter.japonicus..r_01909.,NA,0,0,0.5,NA,Gluconobacter.japonicus..r_01909.,NA
Gluconobacter.japonicus.frateurii..r_01907.,NA,0,0,0.5,NA,Gluconobacter.japonicus.frateurii..r_01907.,NA
Gluconobacter.morbifer..r_06622.,NA,0,0,0.5,NA,Gluconobacter.morbifer..r_06622.,NA
Gluconobacter.oxydans..r_03874.,NA,0,0,0.5,NA,Gluconobacter.oxydans..r_03874.,NA
Gluconobacter.roseus..r_03875.,NA,0,0,0.5,NA,Gluconobacter.roseus..r_03875.,NA
Gluconobacter.sp...r_01908.,NA,0,0,0.5,NA,Gluconobacter.sp...r_01908.,NA
Glutamicibacter.arilaitensis..r_01853.,NA,0,0,0.5,NA,Glutamicibacter.arilaitensis..r_01853.,NA
Glutamicibacter.halophytocola..r_01856.,NA,0,0,0.5,NA,Glutamicibacter.halophytocola..r_01856.,NA
Glutamicibacter.mysorens..r_01852.,NA,0,0,0.5,NA,Glutamicibacter.mysorens..r_01852.,NA
Glycomyces.arizonensis..r_01962.,NA,0,0,0.5,NA,Glycomyces.arizonensis..r_01962.,NA
Glycomyces.harbinensis..r_11564.,NA,0,0,0.5,NA,Glycomyces.harbinensis..r_11564.,NA
Glycomyces.sambucus..r_11052.,NA,0,0,0.5,NA,Glycomyces.sambucus..r_11052.,NA
Glycomyces.sp..NRRL.B.16210..r_08365.,NA,0,0,0.5,NA,Glycomyces.sp..NRRL.B.16210..r_08365.,NA
Glycomyces.tenuis..r_01961.,NA,0,0,0.5,NA,Glycomyces.tenuis..r_01961.,NA
Gordonia.aichiensis..r_01764.,NA,0,0,0.5,NA,Gordonia.aichiensis..r_01764.,NA
Gordonia.amarae..r_06597.,NA,0,0,0.5,NA,Gordonia.amarae..r_06597.,NA
Gordonia.amicalis..r_00912.,NA,0,0,0.5,NA,Gordonia.amicalis..r_00912.,NA
Gordonia.araii..r_06592.,NA,0,0,0.5,NA,Gordonia.araii..r_06592.,NA
Gordonia.bronchialis..r_11413.,NA,0,0,0.5,NA,Gordonia.bronchialis..r_11413.,NA
Gordonia.desulfuricans..r_03325.,NA,0,0,0.5,NA,Gordonia.desulfuricans..r_03325.,NA
Gordonia.effusa..r_06605.,NA,0,0,0.5,NA,Gordonia.effusa..r_06605.,NA
Gordonia.hirsuta..r_02266.,NA,0,0,0.5,NA,Gordonia.hirsuta..r_02266.,NA
Gordonia.hydrophobica..r_02599.,NA,0,0,0.5,NA,Gordonia.hydrophobica..r_02599.,NA
Gordonia.jacobaea.sputi..r_01762.,NA,0,0,0.5,NA,Gordonia.jacobaea.sputi..r_01762.,NA
Gordonia.kroppenstedtii..r_11272.,NA,0,0,0.5,NA,Gordonia.kroppenstedtii..r_11272.,NA
Gordonia.lacunae..r_00918.,NA,0,0,0.5,NA,Gordonia.lacunae..r_00918.,NA
Gordonia.malaquae..r_03326.,NA,0,0,0.5,NA,Gordonia.malaquae..r_03326.,NA
Gordonia.neofelifaecis..r_03328.,NA,0,0,0.5,NA,Gordonia.neofelifaecis..r_03328.,NA
Gordonia.otitidis..r_01763.,NA,0,0,0.5,NA,Gordonia.otitidis..r_01763.,NA
Gordonia.paraffinivorans..r_07434.,NA,0,0,0.5,NA,Gordonia.paraffinivorans..r_07434.,NA
Gordonia.phthalatica..r_02598.,NA,0,0,0.5,NA,Gordonia.phthalatica..r_02598.,NA
Gordonia.polyisoprenivorans..r_01062.,NA,0,0,0.5,NA,Gordonia.polyisoprenivorans..r_01062.,NA
Gordonia.rhizosphera..r_06663.,NA,0,0,0.5,NA,Gordonia.rhizosphera..r_06663.,NA
Gordonia.shandongensis..r_06891.,NA,0,0,0.5,NA,Gordonia.shandongensis..r_06891.,NA
Gordonia.sihwensis..r_03327.,NA,0,0,0.5,NA,Gordonia.sihwensis..r_03327.,NA
Gordonia.soli..r_07435.,NA,0,0,0.5,NA,Gordonia.soli..r_07435.,NA
Gordonia.sp...r_00913.,NA,0,0,0.5,NA,Gordonia.sp...r_00913.,NA
Gordonia.sp...r_00915.,NA,0,0,0.5,NA,Gordonia.sp...r_00915.,NA
Gordonia.terrae..r_00916.,NA,0,0,0.5,NA,Gordonia.terrae..r_00916.,NA
Gordonia.terrae..r_00917.,NA,0,0,0.5,NA,Gordonia.terrae..r_00917.,NA
Gordonia.westfalica..r_00914.,NA,0,0,0.5,NA,Gordonia.westfalica..r_00914.,NA
Gorillibacterium.massiliense..r_07798.,NA,0,0,0.5,NA,Gorillibacterium.massiliense..r_07798.,NA
Gorillibacterium.timonense..r_09077.,NA,0,0,0.5,NA,Gorillibacterium.timonense..r_09077.,NA
Gottschalkia.acidurici..r_07149.,NA,0,0,0.5,NA,Gottschalkia.acidurici..r_07149.,NA
Gottschalkia.purinilytica..r_08451.,NA,0,0,0.5,NA,Gottschalkia.purinilytica..r_08451.,NA
Gracilibacillus.boraciitolerans..r_07862.,NA,0,0,0.5,NA,Gracilibacillus.boraciitolerans..r_07862.,NA
Gracilibacillus.halophilus..r_07908.,NA,0,0,0.5,NA,Gracilibacillus.halophilus..r_07908.,NA
Gracilibacillus.kekensis..r_00905.,NA,0,0,0.5,NA,Gracilibacillus.kekensis..r_00905.,NA
Gracilibacillus.lacisalsi..r_06892.,NA,0,0,0.5,NA,Gracilibacillus.lacisalsi..r_06892.,NA
Gracilibacillus.massiliensis..r_00906.,NA,0,0,0.5,NA,Gracilibacillus.massiliensis..r_00906.,NA
Gracilibacillus.orientalis..r_10952.,NA,0,0,0.5,NA,Gracilibacillus.orientalis..r_10952.,NA
Gracilibacillus.sp...r_03973.,NA,0,0,0.5,NA,Gracilibacillus.sp...r_03973.,NA
Gracilibacillus.timonensis..r_10048.,NA,0,0,0.5,NA,Gracilibacillus.timonensis..r_10048.,NA
Gracilibacillus.ureilyticus..r_11426.,NA,0,0,0.5,NA,Gracilibacillus.ureilyticus..r_11426.,NA
Gracilibacter.sp..BRH_c7a..r_09201.,NA,0,0,0.5,NA,Gracilibacter.sp..BRH_c7a..r_09201.,NA
Gracilimonas.tropica..r_06893.,NA,0,0,0.5,NA,Gracilimonas.tropica..r_06893.,NA
Gramella.echinicola..r_02267.,NA,0,0,0.5,NA,Gramella.echinicola..r_02267.,NA
Gramella.flava..r_03404.,NA,0,0,0.5,NA,Gramella.flava..r_03404.,NA
Gramella.forsetii..r_11150.,NA,0,0,0.5,NA,Gramella.forsetii..r_11150.,NA
Gramella.portivictoriae..r_06894.,NA,0,0,0.5,NA,Gramella.portivictoriae..r_06894.,NA
Gramella.salexigens..r_10464.,NA,0,0,0.5,NA,Gramella.salexigens..r_10464.,NA
Gramella.sp..MAR_2010_147..r_07562.,NA,0,0,0.5,NA,Gramella.sp..MAR_2010_147..r_07562.,NA
Granulibacter.bethesdensis..r_01414.,NA,0,0,0.5,NA,Granulibacter.bethesdensis..r_01414.,NA
Granulibacter.bethesdensis..r_01415.,NA,0,0,0.5,NA,Granulibacter.bethesdensis..r_01415.,NA
Granulibacter.bethesdensis..r_01416.,NA,0,0,0.5,NA,Granulibacter.bethesdensis..r_01416.,NA
Granulicatella.balaenopterae..r_08055.,NA,0,0,0.5,NA,Granulicatella.balaenopterae..r_08055.,NA
Granulicella.mallensis..r_11771.,NA,0,0,0.5,NA,Granulicella.mallensis..r_11771.,NA
Granulicella.pectinivorans..r_11294.,NA,0,0,0.5,NA,Granulicella.pectinivorans..r_11294.,NA
Granulicella.tundricola..r_07332.,NA,0,0,0.5,NA,Granulicella.tundricola..r_07332.,NA
Granulicoccus.phenolivorans..r_02268.,NA,0,0,0.5,NA,Granulicoccus.phenolivorans..r_02268.,NA
Grimontia.hollisae..r_01491.,NA,0,0,0.5,NA,Grimontia.hollisae..r_01491.,NA
Grimontia.sp...r_01492.,NA,0,0,0.5,NA,Grimontia.sp...r_01492.,NA
Gryllotalpicola.ginsengisoli..r_06816.,NA,0,0,0.5,NA,Gryllotalpicola.ginsengisoli..r_06816.,NA
Gulbenkiania.indica..r_11041.,NA,0,0,0.5,NA,Gulbenkiania.indica..r_11041.,NA
Gulosibacter.molinativorax..r_06895.,NA,0,0,0.5,NA,Gulosibacter.molinativorax..r_06895.,NA
Gynuella.sunshinyii..r_08307.,NA,0,0,0.5,NA,Gynuella.sunshinyii..r_08307.,NA
Hadesarchaea.archaeon.DG.33..r_09379.,NA,0,0,0.5,NA,Hadesarchaea.archaeon.DG.33..r_09379.,NA
Hadesarchaea.archaeon.YNP_45..r_09385.,NA,0,0,0.5,NA,Hadesarchaea.archaeon.YNP_45..r_09385.,NA
Haematobacter.massiliensis..r_06041.,NA,0,0,0.5,NA,Haematobacter.massiliensis..r_06041.,NA
Haematobacter.missouriensis..r_06042.,NA,0,0,0.5,NA,Haematobacter.missouriensis..r_06042.,NA
Haematomicrobium.sanguinis..r_06753.,NA,0,0,0.5,NA,Haematomicrobium.sanguinis..r_06753.,NA
Haematospirillum.jordaniae..r_08570.,NA,0,0,0.5,NA,Haematospirillum.jordaniae..r_08570.,NA
Haemophilus.haemoglobinophilus..r_11855.,NA,0,0,0.5,NA,Haemophilus.haemoglobinophilus..r_11855.,NA
Haemophilus.massiliensis..r_04262.,NA,0,0,0.5,NA,Haemophilus.massiliensis..r_04262.,NA
Haemophilus.paracuniculus..r_11856.,NA,0,0,0.5,NA,Haemophilus.paracuniculus..r_11856.,NA
Hahella.chejuensis..r_10988.,NA,0,0,0.5,NA,Hahella.chejuensis..r_10988.,NA
Hahella.ganghwensis..r_06896.,NA,0,0,0.5,NA,Hahella.ganghwensis..r_06896.,NA
Haladaptatus.cibarius..r_04493.,NA,0,0,0.5,NA,Haladaptatus.cibarius..r_04493.,NA
Haladaptatus.litoreus..r_04494.,NA,0,0,0.5,NA,Haladaptatus.litoreus..r_04494.,NA
Haladaptatus.paucihalophilus..r_06447.,NA,0,0,0.5,NA,Haladaptatus.paucihalophilus..r_06447.,NA
Haladaptatus.sp..R4..r_09061.,NA,0,0,0.5,NA,Haladaptatus.sp..R4..r_09061.,NA
Halalkalibacillus.halophilus..r_06897.,NA,0,0,0.5,NA,Halalkalibacillus.halophilus..r_06897.,NA
Halalkalicoccus.jeotgali..r_06441.,NA,0,0,0.5,NA,Halalkalicoccus.jeotgali..r_06441.,NA
Halalkalicoccus.paucihalophilus..r_06508.,NA,0,0,0.5,NA,Halalkalicoccus.paucihalophilus..r_06508.,NA
Halanaeroarchaeum.sulfurireducens..r_04819.,NA,0,0,0.5,NA,Halanaeroarchaeum.sulfurireducens..r_04819.,NA
Halanaerobium.congolense..r_06363.,NA,0,0,0.5,NA,Halanaerobium.congolense..r_06363.,NA
Halanaerobium.hydrogeniformans..r_11706.,NA,0,0,0.5,NA,Halanaerobium.hydrogeniformans..r_11706.,NA
Halanaerobium.kushneri..r_11504.,NA,0,0,0.5,NA,Halanaerobium.kushneri..r_11504.,NA
Halanaerobium.praevalens..r_11525.,NA,0,0,0.5,NA,Halanaerobium.praevalens..r_11525.,NA
Halanaerobium.saccharolyticum..r_07845.,NA,0,0,0.5,NA,Halanaerobium.saccharolyticum..r_07845.,NA
Halanaerobium.salsuginis..r_10858.,NA,0,0,0.5,NA,Halanaerobium.salsuginis..r_10858.,NA
Halapricum.salinum..r_08346.,NA,0,0,0.5,NA,Halapricum.salinum..r_08346.,NA
Halarchaeum.acidiphilum..r_07575.,NA,0,0,0.5,NA,Halarchaeum.acidiphilum..r_07575.,NA
Halarsenatibacter.silvermanii..r_10926.,NA,0,0,0.5,NA,Halarsenatibacter.silvermanii..r_10926.,NA
Haliangium.ochraceum..r_11353.,NA,0,0,0.5,NA,Haliangium.ochraceum..r_11353.,NA
Haliea.salexigens..r_06898.,NA,0,0,0.5,NA,Haliea.salexigens..r_06898.,NA
Halieaceae.species...m_13056.,NA,0,0,0.5,NA,Halieaceae.species...m_13056.,NA
Halieaceae.species...m_14457.,NA,0,0,0.5,NA,Halieaceae.species...m_14457.,NA
Halioglobus.japonicus..r_12130.,NA,0,0,0.5,NA,Halioglobus.japonicus..r_12130.,NA
Halioglobus.pacificus..r_12131.,NA,0,0,0.5,NA,Halioglobus.pacificus..r_12131.,NA
Haliscomenobacter.hydrossis..r_11904.,NA,0,0,0.5,NA,Haliscomenobacter.hydrossis..r_11904.,NA
Haloactinobacterium.album..r_11682.,NA,0,0,0.5,NA,Haloactinobacterium.album..r_11682.,NA
Haloarchaeobius.iranensis..r_12216.,NA,0,0,0.5,NA,Haloarchaeobius.iranensis..r_12216.,NA
Haloarcula.amylolytica.hispanica..r_03374.,NA,0,0,0.5,NA,Haloarcula.amylolytica.hispanica..r_03374.,NA
Haloarcula.argentinensis..r_03373.,NA,0,0,0.5,NA,Haloarcula.argentinensis..r_03373.,NA
Haloarcula.japonica..r_03372.,NA,0,0,0.5,NA,Haloarcula.japonica..r_03372.,NA
Haloarcula.rubripromontorii..r_03377.,NA,0,0,0.5,NA,Haloarcula.rubripromontorii..r_03377.,NA
Haloarcula.sp..CBA1127..r_03376.,NA,0,0,0.5,NA,Haloarcula.sp..CBA1127..r_03376.,NA
Haloarcula.sp...r_03375.,NA,0,0,0.5,NA,Haloarcula.sp...r_03375.,NA
Haloarcula.vallismortis..r_03371.,NA,0,0,0.5,NA,Haloarcula.vallismortis..r_03371.,NA
Halobacillus.aidingensis..r_10737.,NA,0,0,0.5,NA,Halobacillus.aidingensis..r_10737.,NA
Halobacillus.dabanensis..r_10736.,NA,0,0,0.5,NA,Halobacillus.dabanensis..r_10736.,NA
Halobacillus.halophilus.alkaliphilus..r_06270.,NA,0,0,0.5,NA,Halobacillus.halophilus.alkaliphilus..r_06270.,NA
Halobacillus.hunanensis..r_11555.,NA,0,0,0.5,NA,Halobacillus.hunanensis..r_11555.,NA
Halobacillus.kuroshimensis..r_06899.,NA,0,0,0.5,NA,Halobacillus.kuroshimensis..r_06899.,NA
Halobacillus.mangrovi..r_11124.,NA,0,0,0.5,NA,Halobacillus.mangrovi..r_11124.,NA
Halobacillus.massiliensis..r_10510.,NA,0,0,0.5,NA,Halobacillus.massiliensis..r_10510.,NA
Halobacillus.salinus..r_10514.,NA,0,0,0.5,NA,Halobacillus.salinus..r_10514.,NA
Halobacillus.sp...r_04728.,NA,0,0,0.5,NA,Halobacillus.sp...r_04728.,NA
Halobacteria.species...m_14065.,NA,0,0,0.5,NA,Halobacteria.species...m_14065.,NA
Halobacteria.species...m_14190.,NA,0,0,0.5,NA,Halobacteria.species...m_14190.,NA
Halobacteriaceae.archaeon.Tc.Br11_E2g27..r_09181.,NA,0,0,0.5,NA,Halobacteriaceae.archaeon.Tc.Br11_E2g27..r_09181.,NA
Halobacteriovorax.marinus..r_11979.,NA,0,0,0.5,NA,Halobacteriovorax.marinus..r_11979.,NA
Halobacterium.hubeiense..r_04284.,NA,0,0,0.5,NA,Halobacterium.hubeiense..r_04284.,NA
Halobacterium.jilantaiense..r_10995.,NA,0,0,0.5,NA,Halobacterium.jilantaiense..r_10995.,NA
Halobacterium.salinarum..r_06326.,NA,0,0,0.5,NA,Halobacterium.salinarum..r_06326.,NA
Halobacterium.sp..CBA1132..r_04285.,NA,0,0,0.5,NA,Halobacterium.sp..CBA1132..r_04285.,NA
Halobacterium.sp..DL1..r_11885.,NA,0,0,0.5,NA,Halobacterium.sp..DL1..r_11885.,NA
Halobacteroides.halobius..r_11880.,NA,0,0,0.5,NA,Halobacteroides.halobius..r_11880.,NA
Halobaculum.gomorrense..r_11199.,NA,0,0,0.5,NA,Halobaculum.gomorrense..r_11199.,NA
Halobellus.clavatus..r_11713.,NA,0,0,0.5,NA,Halobellus.clavatus..r_11713.,NA
Halobellus.rufus..r_08313.,NA,0,0,0.5,NA,Halobellus.rufus..r_08313.,NA
Halobiforma.haloterrestris.lacisalsi..r_04565.,NA,0,0,0.5,NA,Halobiforma.haloterrestris.lacisalsi..r_04565.,NA
Halobiforma.nitratireducens..r_07449.,NA,0,0,0.5,NA,Halobiforma.nitratireducens..r_07449.,NA
Halococcus.agarilyticus..r_07486.,NA,0,0,0.5,NA,Halococcus.agarilyticus..r_07486.,NA
Halococcus.hamelinensis..r_07163.,NA,0,0,0.5,NA,Halococcus.hamelinensis..r_07163.,NA
Halococcus.morrhuae..r_03379.,NA,0,0,0.5,NA,Halococcus.morrhuae..r_03379.,NA
Halococcus.saccharolyticus..r_07450.,NA,0,0,0.5,NA,Halococcus.saccharolyticus..r_07450.,NA
Halococcus.salifodinae..r_07451.,NA,0,0,0.5,NA,Halococcus.salifodinae..r_07451.,NA
Halococcus.sediminicola..r_07748.,NA,0,0,0.5,NA,Halococcus.sediminicola..r_07748.,NA
Halococcus.thailandensis..r_03378.,NA,0,0,0.5,NA,Halococcus.thailandensis..r_03378.,NA
Halocynthiibacter.arcticus..r_08624.,NA,0,0,0.5,NA,Halocynthiibacter.arcticus..r_08624.,NA
Halocynthiibacter.namhaensis..r_07837.,NA,0,0,0.5,NA,Halocynthiibacter.namhaensis..r_07837.,NA
Halodesulfovibrio.marinisediminis..r_02218.,NA,0,0,0.5,NA,Halodesulfovibrio.marinisediminis..r_02218.,NA
